,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,OverageMinutes,RoamingCalls,DroppedCalls,CustomerCareCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,CallForwardingCalls,CallWaitingCalls,MonthsInService,Age,CreditRating,PrizmCode,Occupation,MaritalStatus
0,Yes,24,219,22,0,0,0,0,97,0,0,58,24,0,0,61,62,1-Highest,Suburban,Professional,No
1,Yes,16,10,17,0,0,0,0,0,0,0,5,1,0,0,58,40,4-Medium,Suburban,Professional,Yes
2,No,38,8,38,0,0,0,0,0,0,0,1,3,0,0,60,26,3-Good,Town,Crafts,Yes
3,No,82,1312,75,0,0,52,4,200,370,147,555,303,0,22,59,30,4-Medium,Other,Other,No
4,Yes,17,0,17,0,0,0,0,0,0,0,0,0,0,0,53,46,1-Highest,Other,Professional,Yes
5,No,38,682,52,0,0,9,0,42,6,0,33,53,0,0,53,28,3-Good,Other,Other,Yes
6,No,31,26,30,0,0,0,0,0,0,0,1,1,0,0,57,52,1-Highest,Other,Self,Yes
7,No,62,98,66,0,0,0,4,0,3,0,7,7,0,0,59,46,1-Highest,Other,Professional,No
8,No,35,24,35,0,0,0,0,2,4,1,9,1,0,0,53,36,1-Highest,Other,Other,Yes
9,No,81,1056,75,0,0,0,0,0,0,0,0,0,0,0,55,46,3-Good,Other,Professional,No
10,No,25,2,25,0,0,0,0,1,0,0,0,0,0,0,53,18,1-Highest,Other,Other,Unknown
11,No,212,1972,85,250,35,9,0,718,49,4,351,128,0,1,59,30,4-Medium,Suburban,Other,No
12,No,42,270,37,6,0,3,1,57,11,3,62,18,0,0,55,58,3-Good,Suburban,Other,Unknown
13,No,63,440,60,6,1,5,3,93,0,0,141,14,0,1,57,99,3-Good,Town,Other,Unknown
14,No,50,162,70,2,0,1,0,38,34,5,19,42,0,0,56,30,3-Good,Other,Other,No
15,Yes,172,1978,100,362,0,7,0,515,22,2,718,60,0,20,58,48,1-Highest,Other,Professional,Unknown
16,No,29,47,30,0,0,0,0,1,10,1,22,3,0,0,54,52,1-Highest,Other,Other,Unknown
17,No,30,34,30,0,0,0,0,0,0,0,14,0,0,0,52,25,3-Good,Other,Other,Unknown
18,Yes,24,42,17,10,0,0,0,0,0,0,3,0,0,0,58,36,1-Highest,Other,Other,No
19,No,30,94,30,0,0,2,0,19,1,0,26,19,0,0,54,42,4-Medium,Rural,Other,Unknown
20,No,35,139,35,0,0,0,0,72,3,0,27,15,0,0,52,40,1-Highest,Suburban,Professional,Yes
21,No,21,46,17,14,0,1,0,2,0,0,7,14,0,0,58,74,1-Highest,Town,Professional,Yes
22,No,28,66,30,0,0,0,0,26,4,0,31,6,0,0,56,48,1-Highest,Suburban,Other,Yes
23,No,99,1194,75,97,0,11,2,288,91,12,370,65,0,11,54,28,1-Highest,Town,Other,Unknown
24,No,30,156,30,0,0,2,0,13,5,4,61,14,0,0,56,36,1-Highest,Town,Other,Yes
25,Yes,33,196,30,0,2,6,0,74,9,5,38,19,0,0,54,50,1-Highest,Suburban,Professional,Yes
26,No,82,660,50,101,1,3,0,377,67,1,162,32,0,2,57,46,1-Highest,Suburban,Other,Yes
27,No,30,56,30,0,0,1,0,13,4,3,29,6,0,0,53,74,1-Highest,Suburban,Other,Yes
28,Yes,16,4,17,0,0,0,0,0,0,0,3,0,0,0,55,64,1-Highest,Suburban,Professional,Yes
29,Yes,57,684,55,3,0,15,5,203,19,0,131,54,0,0,55,50,3-Good,Suburban,Professional,No
30,Yes,78,852,85,0,0,10,1,304,54,29,200,74,0,6,53,50,1-Highest,Town,Crafts,Yes
31,Yes,107,782,25,233,0,1,0,786,1,0,64,119,0,2,55,36,3-Good,Suburban,Other,Yes
32,Yes,30,24,30,0,0,0,0,0,3,0,4,5,0,0,51,72,1-Highest,Suburban,Retired,Yes
33,No,145,1293,68,265,0,6,3,208,92,6,345,86,0,3,55,64,1-Highest,Suburban,Other,Yes
34,Yes,50,100,50,0,0,0,0,7,1,0,19,10,0,0,53,16,3-Good,Town,Other,Unknown
35,Yes,51,404,50,0,0,5,2,73,19,0,130,8,0,1,55,44,1-Highest,Rural,Self,No
36,No,20,1,20,0,0,0,0,0,0,0,0,0,0,0,50,46,1-Highest,Town,Other,No
37,Yes,36,36,45,0,1,0,0,1,1,0,5,2,0,0,55,40,1-Highest,Suburban,Professional,Yes
38,No,37,71,38,0,0,0,0,2,1,0,8,2,0,0,53,76,1-Highest,Other,Other,Yes
39,No,91,333,75,0,0,3,0,33,9,4,201,23,0,0,50,30,3-Good,Suburban,Other,No
40,No,29,65,30,2,0,0,0,7,1,0,27,1,0,0,50,40,3-Good,Suburban,Self,Yes
41,Yes,149,2382,150,0,0,4,9,391,145,102,533,232,0,18,56,50,3-Good,Town,Other,No
42,No,84,745,85,0,0,3,2,181,13,14,212,88,0,2,50,48,4-Medium,Other,Other,No
43,No,17,20,17,1,0,0,1,3,0,0,5,1,0,0,56,44,4-Medium,Town,Other,No
44,No,107,1671,75,126,0,6,0,633,42,45,329,130,0,14,54,15,4-Medium,Suburban,Other,Unknown
45,No,163,1438,83,0,0,15,0,426,58,29,514,124,0,30,50,50,4-Medium,Town,Other,Unknown
46,No,66,1230,60,53,0,4,9,258,103,26,215,155,0,4,52,30,1-Highest,Other,Other,No
47,No,21,18,19,9,0,0,0,8,1,0,11,3,0,0,54,54,1-Highest,Suburban,Professional,Yes
48,Yes,136,560,71,163,0,7,0,246,36,28,138,52,0,2,56,20,4-Medium,Other,Other,Unknown
49,No,76,1008,60,65,6,2,0,244,105,41,225,197,0,8,52,54,1-Highest,Suburban,Other,Yes
50,No,196,3479,85,872,0,7,0,1005,67,196,1177,175,0,38,54,38,1-Highest,Suburban,Other,Unknown
51,No,79,831,75,0,0,2,0,282,37,13,155,32,0,2,56,30,4-Medium,Other,Other,No
52,No,56,1010,60,10,0,4,0,151,17,19,76,81,0,0,52,42,3-Good,Suburban,Crafts,No
53,No,79,828,75,0,2,10,0,176,36,14,250,21,0,6,50,52,1-Highest,Suburban,Professional,No
54,No,35,148,45,0,0,1,0,38,7,3,46,20,0,0,50,50,4-Medium,Suburban,Other,Unknown
55,No,75,493,85,0,0,2,0,1,1,0,61,25,0,0,52,48,1-Highest,Town,Other,Yes
56,No,49,820,60,2,0,1,6,139,17,1,100,46,0,4,56,48,1-Highest,Town,Professional,Yes
57,No,23,34,15,30,0,0,0,0,15,0,18,3,0,0,52,68,1-Highest,Suburban,Other,Yes
58,No,29,148,30,0,0,6,0,7,6,0,65,7,0,0,54,56,4-Medium,Other,Other,No
59,No,103,1376,85,38,7,5,3,188,30,5,211,124,0,2,56,48,1-Highest,Suburban,Other,Yes
60,No,71,538,75,0,0,6,0,99,31,7,113,21,0,3,54,40,1-Highest,Rural,Homemaker,Yes
61,No,114,1650,83,52,0,3,0,362,90,34,412,56,0,21,50,40,1-Highest,Other,Clerical,No
62,Yes,90,952,50,161,0,11,0,464,8,7,300,95,0,10,54,42,6-VeryLow,Other,Other,Unknown
63,Yes,53,1020,58,162,0,1,0,240,50,31,239,110,0,15,54,22,1-Highest,Other,Other,No
64,No,45,70,50,0,0,0,0,1,11,0,26,11,0,0,52,46,1-Highest,Other,Professional,No
65,No,95,161,89,0,0,0,0,31,14,0,38,22,0,0,56,23,1-Highest,Town,Other,Unknown
66,Yes,90,1151,95,22,0,3,1,476,19,15,70,52,0,1,54,19,1-Highest,Other,Other,Unknown
67,No,226,2338,78,370,1,13,0,609,32,48,286,98,0,8,54,26,4-Medium,Suburban,Other,Unknown
68,No,105,784,80,0,17,1,0,479,16,2,197,38,0,1,54,62,1-Highest,Suburban,Other,Yes
69,No,113,1807,85,102,1,4,0,658,37,48,517,72,0,6,52,48,1-Highest,Suburban,Other,Yes
70,Yes,51,368,45,39,0,4,0,81,26,1,69,26,0,2,56,48,1-Highest,Other,Professional,Yes
71,No,35,291,45,0,0,4,0,76,5,2,46,63,0,1,52,42,3-Good,Suburban,Other,Unknown
72,No,114,1172,83,0,8,4,0,353,91,86,442,32,0,11,54,44,1-Highest,Rural,Other,Yes
73,Yes,138,1580,77,227,0,2,0,650,56,24,219,48,0,4,50,25,1-Highest,Other,Other,Unknown
74,Yes,159,2256,83,666,0,11,0,753,119,97,449,239,0,64,54,38,3-Good,Other,Other,No
75,No,50,711,50,0,0,0,0,282,73,46,121,164,0,0,56,38,2-High,Other,Professional,No
76,No,75,343,75,0,0,3,0,135,9,0,111,36,0,0,54,58,3-Good,Other,Clerical,Yes
77,No,281,3808,183,759,0,27,0,1208,169,42,1101,289,0,45,50,48,1-Highest,Rural,Other,No
78,No,97,1670,83,0,1,1,0,477,53,58,354,126,0,9,52,62,3-Good,Other,Professional,Yes
79,No,55,516,50,30,0,2,0,79,20,1,94,44,0,1,54,48,1-Highest,Suburban,Other,Unknown
80,No,70,797,60,43,0,7,0,300,22,3,238,70,0,0,49,32,5-Low,Other,Clerical,Yes
81,Yes,30,181,30,0,0,2,6,22,41,7,84,37,0,0,49,32,6-VeryLow,Suburban,Other,Yes
82,No,104,1166,75,0,0,1,0,338,80,33,301,66,0,6,49,21,1-Highest,Suburban,Other,Unknown
83,No,260,3210,213,0,0,9,4,824,141,28,906,210,0,34,53,40,3-Good,Other,Other,Unknown
84,Yes,36,66,30,0,0,0,0,0,0,0,1,0,0,0,51,54,1-Highest,Other,Other,Unknown
85,No,50,154,50,0,0,2,0,24,18,8,51,16,0,0,51,50,3-Good,Suburban,Professional,Yes
86,Yes,106,2206,85,107,0,19,11,901,56,43,455,221,0,32,53,42,3-Good,Other,Other,No
87,No,122,1806,75,146,1,5,2,409,50,13,290,147,0,14,49,42,6-VeryLow,Suburban,Other,Unknown
88,No,34,44,45,0,0,0,0,6,1,3,13,3,0,0,51,32,3-Good,Rural,Other,Unknown
89,No,120,1730,87,183,0,3,4,438,132,97,310,119,0,3,55,19,6-VeryLow,Other,Other,No
